name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,isin_region,手机号识别,bd09_lng,bd09_lat,行业大类,行业子类
花本溪轮滑(龙湖杭州紫荆天街店),浙江省,杭州市,西湖区,浙江省杭州市西湖区古墩路1009号龙湖杭州紫荆天街F3,15606222055,47d293462234709ea8f72924,47d293462234709ea8f72924,1,"{'distance': 0, 'tag': '运动健身;体育场馆', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=47d293462234709ea8f72924&output=html&source=placeapi_v2', 'overall_rating': '4.5', 'image_num': '8', 'comment_num': '2', 'shop_hours': '', 'label': '溜冰场', 'children': []}","{'lat': 30.326926, 'lng': 120.098217}",http://api.map.baidu.com/place/detail?uid=47d293462234709ea8f72924&output=html&source=placeapi_v2,运动健身;体育场馆,life,False,1,120.098217,30.326926,运动健身,体育场馆
爱忙人推拿(西溪天街店),浙江省,杭州市,西湖区,浙江省杭州市西湖区双龙街西溪天街商务中心4号楼2单元2楼229室(缘圆面馆背后4号2单元门),15257156477,b595058d48ac9aec471a320f,b595058d48ac9aec471a320f,1,"{'distance': 0, 'tag': '休闲娱乐;洗浴按摩', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=b595058d48ac9aec471a320f&output=html&source=placeapi_v2', 'overall_rating': '4.8', 'shop_hours': '', 'label': '推拿', 'children': []}","{'lat': 30.297945, 'lng': 120.075377}",http://api.map.baidu.com/place/detail?uid=b595058d48ac9aec471a320f&output=html&source=placeapi_v2,休闲娱乐;洗浴按摩,life,False,1,120.075377,30.297945,休闲娱乐,洗浴按摩
多益宝(SCPG印象城购物中心店),浙江省,杭州市,西湖区,浙江省杭州市西湖区古墩路588号印象城2楼,18336196136,0e9ebc639cc201330bf5ebe9,None,1,"{'distance': 0, 'tag': '休闲娱乐;游戏场所', 'indoor_floor': 'F2', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=0e9ebc639cc201330bf5ebe9&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '休闲娱乐', 'children': []}","{'lat': 30.300078, 'lng': 120.105847}",http://api.map.baidu.com/place/detail?uid=0e9ebc639cc201330bf5ebe9&output=html&source=placeapi_v2,休闲娱乐;游戏场所,life,False,1,120.105847,30.300078,休闲娱乐,游戏场所
印象烟酒城,浙江省,杭州市,西湖区,三墩镇盛龙街西城美墅1幢商铺107号,18368000579,4af98cb0a02c2fd9fda778c0,4af98cb0a02c2fd9fda778c0,1,"{'distance': 0, 'tag': '购物;商铺', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=4af98cb0a02c2fd9fda778c0&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '烟酒店', 'children': []}","{'lat': 30.317384, 'lng': 120.108015}",http://api.map.baidu.com/place/detail?uid=4af98cb0a02c2fd9fda778c0&output=html&source=placeapi_v2,购物;商铺,shopping,False,1,120.108015,30.317384,购物,商铺
天然居休闲园,浙江省,杭州市,西湖区,浙江省杭州市西湖区清谷路97号,15906602964,53cb514341705822882fb5fa,None,1,"{'distance': 0, 'tag': '休闲娱乐;农家院', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=53cb514341705822882fb5fa&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '农家院', 'children': []}","{'lat': 30.194082, 'lng': 120.075885}",http://api.map.baidu.com/place/detail?uid=53cb514341705822882fb5fa&output=html&source=placeapi_v2,休闲娱乐;农家院,life,False,1,120.075885,30.194082,休闲娱乐,农家院
陶冶陶艺皮艺油画手作(西溪龙湖天街店),浙江省,杭州市,西湖区,双龙街绿城西溪世纪中心1号楼221室,13757199883,fffddfc70b290284fd0eb045,None,1,"{'distance': 0, 'tag': '休闲娱乐;其他', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=fffddfc70b290284fd0eb045&output=html&source=placeapi_v2', 'overall_rating': '4.5', 'shop_hours': '', 'label': 'DIY手工', 'children': []}","{'lat': 30.298439, 'lng': 120.07698}",http://api.map.baidu.com/place/detail?uid=fffddfc70b290284fd0eb045&output=html&source=placeapi_v2,休闲娱乐;其他,life,False,1,120.07698,30.298439,休闲娱乐,其他
一半茶事,浙江省,杭州市,西湖区,杭州市西湖区双龙街西溪龙湖天街5号楼308室,18072940893,ac656035a0ddd2c9843304ee,ac656035a0ddd2c9843304ee,1,"{'distance': 0, 'tag': '美食;茶座', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=ac656035a0ddd2c9843304ee&output=html&source=placeapi_v2', 'overall_rating': '3.6', 'shop_hours': '', 'label': '茶座', 'children': []}","{'lat': 30.29847, 'lng': 120.07439}",http://api.map.baidu.com/place/detail?uid=ac656035a0ddd2c9843304ee&output=html&source=placeapi_v2,美食;茶座,cater,False,1,120.07439,30.29847,美食,茶座
福泰来东北菜(分店),浙江省,杭州市,西湖区,浙江省杭州市西湖区保俶路106号,18057371234,0054e58bb7b05a3514948ef8,0054e58bb7b05a3514948ef8,1,"{'distance': 0, 'tag': '美食;中餐厅', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=0054e58bb7b05a3514948ef8&output=html&source=placeapi_v2', 'price': '91.0', 'overall_rating': '4.2', 'comment_num': '6', 'shop_hours': '', 'label': '东北菜', 'children': []}","{'lat': 30.271188, 'lng': 120.155604}",http://api.map.baidu.com/place/detail?uid=0054e58bb7b05a3514948ef8&output=html&source=placeapi_v2,美食;中餐厅,cater,False,1,120.155604,30.271188,美食,中餐厅
无业游民DIY手工坊(城西银泰店),浙江省,杭州市,西湖区,浙江省杭州市西湖区古墩路673号优盘时代3号楼416(近三坝地铁站A出口),15168263615,56a3b7b137d17bdc4251c0c8,56a3b7b137d17bdc4251c0c8,1,"{'distance': 0, 'tag': '休闲娱乐;其他', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=56a3b7b137d17bdc4251c0c8&output=html&source=placeapi_v2', 'overall_rating': '4.9', 'comment_num': '3', 'shop_hours': '', 'label': 'DIY手工', 'children': []}","{'lat': 30.307472, 'lng': 120.107557}",http://api.map.baidu.com/place/detail?uid=56a3b7b137d17bdc4251c0c8&output=html&source=placeapi_v2,休闲娱乐;其他,life,False,1,120.107557,30.307472,休闲娱乐,其他
漆橙车间轰趴馆(三坝3店),浙江省,杭州市,西湖区,浙江省杭州市西湖区申花路359号申瑞国际2期金座1幢301室,13173695537,bb8ce5ba614a2a506f3e1bce,None,1,"{'distance': 0, 'tag': '休闲娱乐;游戏场所', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=bb8ce5ba614a2a506f3e1bce&output=html&source=placeapi_v2', 'overall_rating': '4.9', 'image_num': '11', 'comment_num': '4', 'shop_hours': '', 'label': '轰趴馆', 'children': []}","{'lat': 30.307381, 'lng': 120.107637}",http://api.map.baidu.com/place/detail?uid=bb8ce5ba614a2a506f3e1bce&output=html&source=placeapi_v2,休闲娱乐;游戏场所,life,False,1,120.107637,30.307381,休闲娱乐,游戏场所
