name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,isin_region,手机号识别,bd09_lng,bd09_lat,行业大类,行业子类
空中揽胜售票处(氦气球观光),浙江省,杭州市,西湖区,浙江省杭州市西湖区文二西路西溪北门慢生活街区,15669000479,76627010f942d4da3310afc6,76627010f942d4da3310afc6,1,"{'distance': 0, 'tag': '生活服务;售票处', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=76627010f942d4da3310afc6&output=html&source=placeapi_v2', 'overall_rating': '0.0', 'image_num': '4', 'comment_num': '2', 'shop_hours': '', 'label': '售票处', 'children': []}","{'lat': 30.279636, 'lng': 120.076277}",http://api.map.baidu.com/place/detail?uid=76627010f942d4da3310afc6&output=html&source=placeapi_v2,生活服务;售票处,life,False,1,120.076277,30.279636,生活服务,售票处
树灵飞虹,浙江省,杭州市,西湖区,杭州市西湖区天目山路518号西溪国家湿地公园内,18657132695,8d09a1d7fe76aa8bc9c3db75,8d09a1d7fe76aa8bc9c3db75,1,"{'distance': 0, 'tag': '旅游景点;风景区', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=8d09a1d7fe76aa8bc9c3db75&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '景区,', 'children': []}","{'lat': 30.277949, 'lng': 120.096106}",http://api.map.baidu.com/place/detail?uid=8d09a1d7fe76aa8bc9c3db75&output=html&source=placeapi_v2,旅游景点;风景区,scope,False,1,120.096106,30.277949,旅游景点,风景区
空谷长滩水公园,浙江省,杭州市,西湖区,杭州市西湖区宝寿山景区,13456700820,0e0ee451d5850202adb22a56,0e0ee451d5850202adb22a56,1,"{'distance': 3811, 'tag': '旅游景点;景点', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=0e0ee451d5850202adb22a56&output=html&source=placeapi_v2', 'overall_rating': '3.5', 'comment_num': '4', 'shop_hours': '08:30-17:30', 'label': '景区,', 'children': []}","{'lat': 30.223478, 'lng': 120.016969}",http://api.map.baidu.com/place/detail?uid=0e0ee451d5850202adb22a56&output=html&source=placeapi_v2,旅游景点;景点,scope,False,1,120.016969,30.223478,旅游景点,景点
太子湾公园-WHO JOY风车空间,浙江省,杭州市,西湖区,浙江省杭州市西湖区西湖街道南山路5-1号太子湾公园内,13291409731,2148273cfb49a4b6f02d838c,None,1,"{'distance': 0, 'tag': '交通设施', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=2148273cfb49a4b6f02d838c&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '交通设施', 'children': []}","{'lat': 30.232683, 'lng': 120.150597}",http://api.map.baidu.com/place/detail?uid=2148273cfb49a4b6f02d838c&output=html&source=placeapi_v2,交通设施,life,False,1,120.150597,30.232683,交通设施,行业缺失
隐雾庐,浙江省,杭州市,西湖区,杭州市西湖区天目山路518号西溪国家湿地公园内,19857416416,e217f371b3f83732e215f99b,e217f371b3f83732e215f99b,1,"{'distance': 0, 'tag': '旅游景点;景点', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=e217f371b3f83732e215f99b&output=html&source=placeapi_v2', 'overall_rating': '4.7', 'shop_hours': '', 'label': '景区,', 'children': []}","{'lat': 30.274767, 'lng': 120.077969}",http://api.map.baidu.com/place/detail?uid=e217f371b3f83732e215f99b&output=html&source=placeapi_v2,旅游景点;景点,scope,False,1,120.077969,30.274767,旅游景点,景点
石山,浙江省,杭州市,西湖区,杭州市西湖区南山路35号长桥公园内,None,51c4e729cacaf3e85e17c32b,,1,"{'distance': 728, 'tag': '旅游景点;景点', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=51c4e729cacaf3e85e17c32b&output=html&source=placeapi_v2', 'overall_rating': '0.0', 'shop_hours': '', 'label': '景区,', 'children': []}","{'lat': 30.23648, 'lng': 120.161199}",http://api.map.baidu.com/place/detail?uid=51c4e729cacaf3e85e17c32b&output=html&source=placeapi_v2,旅游景点;景点,scope,False,0,120.161199,30.23648,旅游景点,景点
双投桥,浙江省,杭州市,西湖区,杭州市西湖区南山路35号长桥公园内,None,680fb703e303fa9c8bb98879,680fb703e303fa9c8bb98879,1,"{'distance': 548, 'tag': '旅游景点;景点', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=680fb703e303fa9c8bb98879&output=html&source=placeapi_v2', 'overall_rating': '4.9', 'image_num': '26', 'comment_num': '16', 'shop_hours': '00:00-24:00', 'label': '景区,', 'children': []}","{'lat': 30.239323, 'lng': 120.16145}",http://api.map.baidu.com/place/detail?uid=680fb703e303fa9c8bb98879&output=html&source=placeapi_v2,旅游景点;景点,scope,True,0,120.16145,30.239323,旅游景点,景点
西湖风景区-荷花区,浙江省,杭州市,西湖区,湖滨路附近湖滨公园一公园内,None,d6ed9dbf62babe354d776efd,d6ed9dbf62babe354d776efd,1,"{'distance': 0, 'tag': '旅游景点;景点', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=d6ed9dbf62babe354d776efd&output=html&source=placeapi_v2', 'overall_rating': '5', 'comment_num': '4', 'shop_hours': '', 'label': '景区,', 'children': []}","{'lat': 30.256712, 'lng': 120.168974}",http://api.map.baidu.com/place/detail?uid=d6ed9dbf62babe354d776efd&output=html&source=placeapi_v2,旅游景点;景点,scope,False,0,120.168974,30.256712,旅游景点,景点
西湖风景区-码头,浙江省,杭州市,西湖区,杭州西湖风景名胜区一公园内,None,37d529574b084b2c5dbe862f,37d529574b084b2c5dbe862f,1,"{'distance': 0, 'tag': '交通设施;港口', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=37d529574b084b2c5dbe862f&output=html&source=placeapi_v2', 'overall_rating': '2.5', 'image_num': '10', 'comment_num': '4', 'shop_hours': '', 'label': '码头', 'children': []}","{'lat': 30.255993, 'lng': 120.167552}",http://api.map.baidu.com/place/detail?uid=37d529574b084b2c5dbe862f&output=html&source=placeapi_v2,交通设施;港口,life,False,0,120.167552,30.255993,交通设施,港口
涌金桥,浙江省,杭州市,西湖区,杭州市西湖区涌金公园内,None,04fa956f394da48c59bbbc71,04fa956f394da48c59bbbc71,1,"{'distance': 0, 'tag': '旅游景点;景点', 'type': 'scope', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=04fa956f394da48c59bbbc71&output=html&source=placeapi_v2', 'overall_rating': '5', 'image_num': '6', 'comment_num': '7', 'shop_hours': '', 'label': '景区,', 'children': []}","{'lat': 30.252065, 'lng': 120.16583}",http://api.map.baidu.com/place/detail?uid=04fa956f394da48c59bbbc71&output=html&source=placeapi_v2,旅游景点;景点,scope,False,0,120.16583,30.252065,旅游景点,景点
