name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,isin_region,手机号识别,bd09_lng,bd09_lat,wgs84_location,wgs84_lng,wgs84_lat,行业大类,行业子类
一尺花园(西湖大学店),浙江省,杭州市,西湖区,杭州市西湖区墩余路600号,13157170505,72daad375b59f9cc2b06ce34,None,1,"{'distance': 0, 'tag': '美食;咖啡厅', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=72daad375b59f9cc2b06ce34&output=html&source=placeapi_v2', 'price': '56.0', 'overall_rating': '4.4', 'image_num': '12', 'comment_num': '6', 'shop_hours': '', 'label': '咖啡厅', 'children': []}","{'lat': 30.335581, 'lng': 120.045121}",http://api.map.baidu.com/place/detail?uid=72daad375b59f9cc2b06ce34&output=html&source=placeapi_v2,美食;咖啡厅,cater,False,1,120.045121,30.335581,"120.03382116497387,30.332083500977223",120.03382116497387,30.332083500977223,美食,咖啡厅
青拉美食(宋城店),浙江省,杭州市,西湖区,杭州市西湖区之江路148号宋城内,18458306999,443c667c4de2afa2354aaea0,None,1,"{'distance': 2637, 'tag': '美食;小吃快餐店', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=443c667c4de2afa2354aaea0&output=html&source=placeapi_v2', 'overall_rating': '4.3', 'comment_num': '3', 'shop_hours': '09:00-21:30', 'label': '中餐馆', 'children': []}","{'lat': 30.176385, 'lng': 120.107636}",http://api.map.baidu.com/place/detail?uid=443c667c4de2afa2354aaea0&output=html&source=placeapi_v2,美食;小吃快餐店,cater,False,1,120.107636,30.176385,"120.09637712714786,30.172461020354582",120.09637712714786,30.172461020354582,美食,小吃快餐店
疆南味道,浙江省,杭州市,西湖区,浙江省杭州市西湖区转塘直街75号-4,15268560740,9428ed9826776cd802294feb,None,1,"{'distance': 3846, 'tag': '美食;中餐厅', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=9428ed9826776cd802294feb&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '中餐馆', 'children': []}","{'lat': 30.168127, 'lng': 120.084407}",http://api.map.baidu.com/place/detail?uid=9428ed9826776cd802294feb&output=html&source=placeapi_v2,美食;中餐厅,cater,False,1,120.084407,30.168127,"120.07302924892936,30.164622394651023",120.07302924892936,30.164622394651023,美食,中餐厅
黄焖鸡米饭(和昌云潮店),浙江省,杭州市,西湖区,西湖区和昌云潮1号楼113,17300968388,506a626e70d31357970319c8,None,1,"{'distance': 0, 'tag': '美食;小吃快餐店', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=506a626e70d31357970319c8&output=html&source=placeapi_v2', 'overall_rating': '3.5', 'shop_hours': '', 'label': '黄焖鸡店', 'children': []}","{'lat': 30.175069, 'lng': 120.115251}",http://api.map.baidu.com/place/detail?uid=506a626e70d31357970319c8&output=html&source=placeapi_v2,美食;小吃快餐店,cater,False,1,120.115251,30.175069,"120.1040256875256,30.171045757803405",120.1040256875256,30.171045757803405,美食,小吃快餐店
多味美食坊,浙江省,杭州市,西湖区,浙江省杭州市西湖区转塘直街43-8号,13396779838,a5e8a940b9b9fa4214c8f6c8,None,1,"{'distance': 0, 'tag': '美食;中餐厅', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=a5e8a940b9b9fa4214c8f6c8&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '中餐馆', 'children': []}","{'lat': 30.166904, 'lng': 120.086057}",http://api.map.baidu.com/place/detail?uid=a5e8a940b9b9fa4214c8f6c8&output=html&source=placeapi_v2,美食;中餐厅,cater,False,1,120.086057,30.166904,"120.07468492941067,30.163371954059716",120.07468492941067,30.163371954059716,美食,中餐厅
二华面馆,浙江省,杭州市,西湖区,枫桦路之江之芯(杭州联合银行西南60米),15988106061,1bf08e48cb45d775715e8049,None,1,"{'distance': 0, 'tag': '美食;小吃快餐店', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=1bf08e48cb45d775715e8049&output=html&source=placeapi_v2', 'overall_rating': '3.6', 'shop_hours': '', 'label': '面馆', 'children': []}","{'lat': 30.164197, 'lng': 120.104252}",http://api.map.baidu.com/place/detail?uid=1bf08e48cb45d775715e8049&output=html&source=placeapi_v2,美食;小吃快餐店,cater,False,1,120.104252,30.164197,"120.09296859402649,30.160327293894916",120.09296859402649,30.160327293894916,美食,小吃快餐店
曼舍溪园酒店宴会厅,浙江省,杭州市,西湖区,九溪路九龙苑1号,13732497930,0e373f012fe7dbc8e115f9ac,None,1,"{'distance': 0, 'tag': '美食;中餐厅', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=0e373f012fe7dbc8e115f9ac&output=html&source=placeapi_v2', 'overall_rating': '4.0', 'shop_hours': '', 'label': '宴会厅', 'children': []}","{'lat': 30.200708, 'lng': 120.12212}",http://api.map.baidu.com/place/detail?uid=0e373f012fe7dbc8e115f9ac&output=html&source=placeapi_v2,美食;中餐厅,cater,True,1,120.12212,30.200708,"120.11094010999723,30.196642481548388",120.11094010999723,30.196642481548388,美食,中餐厅
沙县小吃(之江路店),浙江省,杭州市,西湖区,浙江省杭州市西湖区西湖街道之江路43号,13957147460,1300023fdc433507100daa86,1300023fdc433507100daa86,1,"{'distance': 0, 'tag': '美食;小吃快餐店', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=1300023fdc433507100daa86&output=html&source=placeapi_v2', 'price': '15.0', 'overall_rating': '3.6', 'comment_num': '4', 'shop_hours': '', 'label': '沙县小吃', 'children': []}","{'lat': 30.192635, 'lng': 120.124365}",http://api.map.baidu.com/place/detail?uid=1300023fdc433507100daa86&output=html&source=placeapi_v2,美食;小吃快餐店,cater,True,1,120.124365,30.192635,"120.11318457605105,30.18856263139229",120.11318457605105,30.18856263139229,美食,小吃快餐店
程程面馆,浙江省,杭州市,西湖区,浙江省杭州市西湖区九溪农贸市场002号,13735825141,e299950419dedf435fd4fe89,e299950419dedf435fd4fe89,1,"{'distance': 0, 'tag': '美食;小吃快餐店', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=e299950419dedf435fd4fe89&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '面馆', 'children': []}","{'lat': 30.194352, 'lng': 120.127226}",http://api.map.baidu.com/place/detail?uid=e299950419dedf435fd4fe89&output=html&source=placeapi_v2,美食;小吃快餐店,cater,True,1,120.127226,30.194352,"120.11605283780567,30.190280420356693",120.11605283780567,30.190280420356693,美食,小吃快餐店
李姐简餐,浙江省,杭州市,西湖区,浙江省杭州市西湖区枫桦东路钱塘one9号楼373号,16655256468,aa1ca8a71671be2100ff2d76,None,1,"{'distance': 0, 'tag': '美食;中餐厅', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=aa1ca8a71671be2100ff2d76&output=html&source=placeapi_v2', 'overall_rating': '3.4', 'comment_num': '1', 'shop_hours': '', 'label': '牛肉火锅', 'children': []}","{'lat': 30.155011, 'lng': 120.122769}",http://api.map.baidu.com/place/detail?uid=aa1ca8a71671be2100ff2d76&output=html&source=placeapi_v2,美食;中餐厅,cater,True,1,120.122769,30.155011,"120.11156167125243,30.15093677994941",120.11156167125243,30.15093677994941,美食,中餐厅
申老板羊肉馆,浙江省,杭州市,西湖区,浙江省杭州市西湖区双浦镇枫桦东路钱塘one-9幢355门面-,13294404666,10fd131d7ae1c7479f09f7ff,10fd131d7ae1c7479f09f7ff,1,"{'distance': 0, 'tag': '美食;中餐厅', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=10fd131d7ae1c7479f09f7ff&output=html&source=placeapi_v2', 'price': '49.0', 'overall_rating': '3.8', 'comment_num': '1', 'shop_hours': '', 'label': '中餐馆', 'children': []}","{'lat': 30.155382, 'lng': 120.12279}",http://api.map.baidu.com/place/detail?uid=10fd131d7ae1c7479f09f7ff&output=html&source=placeapi_v2,美食;中餐厅,cater,True,1,120.12279,30.155382,"120.11158268047859,30.15130770460209",120.11158268047859,30.15130770460209,美食,中餐厅
沙县小吃,浙江省,杭州市,西湖区,西湖区枫桦东路375号一层,18606739730,f3def61582d923e61811d5eb,,1,"{'distance': 1158, 'tag': '美食;小吃快餐店', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=f3def61582d923e61811d5eb&output=html&source=placeapi_v2', 'overall_rating': '3.5', 'shop_hours': '07:00-23:30', 'label': '沙县小吃', 'children': []}","{'lat': 30.154528, 'lng': 120.122759}",http://api.map.baidu.com/place/detail?uid=f3def61582d923e61811d5eb&output=html&source=placeapi_v2,美食;小吃快餐店,cater,True,1,120.122759,30.154528,"120.1115517159162,30.150453830432795",120.1115517159162,30.150453830432795,美食,小吃快餐店
如意馄饨(钱塘one店),浙江省,杭州市,西湖区,西湖区枫桦东路钱塘ONE359号,19906727768,37f8290229e576df17c905b4,37f8290229e576df17c905b4,1,"{'distance': 0, 'tag': '美食;小吃快餐店', 'type': 'cater', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=37f8290229e576df17c905b4&output=html&source=placeapi_v2', 'shop_hours': '', 'label': '馄饨店', 'children': []}","{'lat': 30.155331, 'lng': 120.122778}",http://api.map.baidu.com/place/detail?uid=37f8290229e576df17c905b4&output=html&source=placeapi_v2,美食;小吃快餐店,cater,True,1,120.122778,30.155331,"120.11157065474924,30.15125674131321",120.11157065474924,30.15125674131321,美食,小吃快餐店
